"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"618","X9P257R1D4","D4","P257","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Mollicutes_RF39",0.0231,0.4622
"619","X9P266R2D4","D4","P266","INFfeed","Fecal or Fecal swab","D4_INFfeed","Bifidobacteriales",0.0185,0.4619
"620","X9P251R1D7","D7","P251","NONINFnm","Fecal","D7_NONINFnm","Bifidobacteriales",0.0363,0.4544
"621","X9P287R3Dm3","DNEG3","P287","INFinject","Fecal Swab","DNEG3_INFinject","Campylobacterales",0.077,0.4528
"622","X9P293R3Dm3","DNEG3","P293","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.0769,0.4525
"623","X9P301R3D0","D0","P301","INFinject","Fecal or Fecal swab","D0_INFinject","Lactobacillales",0.0586,0.4504
"624","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Lactobacillales",0.0224,0.4472
"625","X9P295R3D7","D7","P295","INFinject","Fecal","D7_INFinject","Coriobacteriales",0.0447,0.4472
"626","X9P258R1D4","D4","P258","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Mollicutes_RF39",0.0223,0.4465
"627","X9P270R2Dm3","DNEG3","P270","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0892,0.4462
"628","X9P304R3Dm3","DNEG3","P304","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.0755,0.4441
"629","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Spirochaetales",0.0264,0.4396
"630","X9P282R2Dm3","DNEG3","P282","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.0877,0.4385
"631","X9P263R1D0","D0","P263","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Selenomonadales",0.0394,0.4376
"632","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Lactobacillales",0.0216,0.4324
"633","X9P259R1D4","D4","P259","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Mollicutes_RF39",0.0216,0.4314
"634","X9P282R2D7","D7","P282","INFfeed","Fecal","D7_INFfeed","Bifidobacteriales",0.0431,0.4311
"635","X9P281R2D7","D7","P281","INFfeed","Fecal","D7_INFfeed","Aeromonadales",0.0431,0.4311
"636","X9P293R3Dm3","DNEG3","P293","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.0731,0.4299
"637","X9P261R1Dm3","DNEG3","P261","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Clostridiales",0.0769,0.4274
"638","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Mollicutes_RF39",0.0385,0.4274
"639","X9P276R2Dm3","DNEG3","P276","INFfeed","Fecal Swab","DNEG3_INFfeed","Selenomonadales",0.0854,0.427
"640","X9P305R3Dm3","DNEG3","P305","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetales",0.0724,0.426
"641","X9P252R1Dm3","DNEG3","P252","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Lactobacillales",0.0757,0.4207
"642","X9P255R1D0","D0","P255","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Lactobacillales",0.0377,0.4188
"643","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Mollicutes_RF39",0.0208,0.417
"644","X9P286R3D0","D0","P286","INFinject","Fecal or Fecal swab","D0_INFinject","Selenomonadales",0.054,0.4152
"645","X9P311R4Dm3","DNEG3","P311","INFnm","Fecal Swab","DNEG3_INFnm","Aeromonadales",0.0705,0.415
"646","X9P275R2Dm3","DNEG3","P275","INFfeed","Fecal Swab","DNEG3_INFfeed","Selenomonadales",0.0826,0.4128
"647","X9P308R4D0","D0","P308","INFnm","Fecal or Fecal swab","D0_INFnm","Enterobacteriales",0.0288,0.4117
"648","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Lactobacillales",0.0285,0.4072
"649","X9P309R4Dminus3","DNEG3","P309","INFnm","Fecal or Fecal swab","DNEG3_INFnm","Lactobacillales",0.0688,0.4049
"650","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Selenomonadales",0.0686,0.4035
"651","X9P259R1D0","D0","P259","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Enterobacteriales",0.0363,0.4033
"652","X9P295R3Dm3","DNEG3","P295","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.0685,0.403
"653","X9P255R1D0","D0","P255","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Spirochaetales",0.0362,0.4017
"654","X9P291R3Dminus3","DNEG3","P291","INFinject","Fecal or Fecal swab","DNEG3_INFinject","Lactobacillales",0.068,0.3997
"655","X9P255R1Dm3","DNEG3","P255","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetales",0.0717,0.3984
"656","X9P273R2Dm3","DNEG3","P273","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.0783,0.3915
"657","X9P296R3Dm3","DNEG3","P296","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.0663,0.39
"658","X9P247R1Dm3","DNEG3","P247","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Selenomonadales",0.0698,0.3876
