"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"1195","X9P262R1D7","D7","P262","NONINFnm","Fecal","D7_NONINFnm","Kiritimatiellaeota",8e-04,0.0096,"keep"
"1196","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Actinobacteria",0.0016,0.0092,"keep"
"1197","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Planctomycetes",0.0016,0.0092,"keep"
"1198","X9P291R3Dminus3","DNEG3","P291","INFinject","Fecal or Fecal swab","DNEG3_INFinject","Epsilonbacteraeota",0.0015,0.0091,"keep"
"1199","X9P300R3Dm3","DNEG3","P300","INFinject","Fecal Swab","DNEG3_INFinject","Epsilonbacteraeota",0.0015,0.0091,"keep"
"1200","X9P311R4Dm3","DNEG3","P311","INFnm","Fecal Swab","DNEG3_INFnm","Epsilonbacteraeota",0.0016,0.0091,"keep"
"1201","X9P324R4Dm3","DNEG3","P324","INFnm","Fecal Swab","DNEG3_INFnm","Epsilonbacteraeota",0.0015,0.0091,"keep"
"1202","X9P287R3Dm3","DNEG3","P287","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0016,0.0091,"keep"
"1203","X9P294R3Dm3","DNEG3","P294","INFinject","Fecal Swab","DNEG3_INFinject","Actinobacteria",0.0015,0.0091,"keep"
"1204","X9P304R3Dm3","DNEG3","P304","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetes",0.0015,0.0091,"keep"
"1205","X9P304R3Dm3","DNEG3","P304","INFinject","Fecal Swab","DNEG3_INFinject","Tenericutes",0.0015,0.0091,"keep"
"1206","X9P323R4Dm3","DNEG3","P323","INFnm","Fecal Swab","DNEG3_INFnm","Tenericutes",0.0015,0.0091,"keep"
"1207","X9P324R4Dm3","DNEG3","P324","INFnm","Fecal Swab","DNEG3_INFnm","Tenericutes",0.0015,0.0091,"keep"
"1208","X9P288R3Dm3","DNEG3","P288","INFinject","Fecal Swab","DNEG3_INFinject","Bacteria_unclassified",0.0015,0.0091,"keep"
"1209","X9P292R3Dm3","DNEG3","P292","INFinject","Fecal Swab","DNEG3_INFinject","Bacteria_unclassified",0.0016,0.0091,"keep"
"1210","X9P295R3Dm3","DNEG3","P295","INFinject","Fecal Swab","DNEG3_INFinject","Bacteria_unclassified",0.0015,0.0091,"keep"
"1211","X9P309R4Dminus3","DNEG3","P309","INFnm","Fecal or Fecal swab","DNEG3_INFnm","Bacteria_unclassified",0.0015,0.0091,"keep"
"1212","X9P310R4Dm3","DNEG3","P310","INFnm","Fecal Swab","DNEG3_INFnm","Bacteria_unclassified",0.0015,0.0091,"keep"
"1213","X9P316R4Dm3","DNEG3","P316","INFnm","Fecal Swab","DNEG3_INFnm","Bacteria_unclassified",0.0015,0.0091,"keep"
"1214","X9P288R3Dm3","DNEG3","P288","INFinject","Fecal Swab","DNEG3_INFinject","Planctomycetes",0.0015,0.0091,"keep"
