"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"629","X9P311R4Dm3","DNEG3","P311","INFnm","Fecal Swab","DNEG3_INFnm","Bacteria_unclassified",0.0178,0.1047,"keep"
"630","X9P288R3Dm3","DNEG3","P288","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0178,0.1046,"keep"
"631","X9P285R2Dm3","DNEG3","P285","INFfeed","Fecal Swab","DNEG3_INFfeed","Proteobacteria",0.0209,0.1044,"keep"
"632","X9P317R4Dm3","DNEG3","P317","INFnm","Fecal Swab","DNEG3_INFnm","Epsilonbacteraeota",0.0177,0.1044,"keep"
"633","X9P291R3Dminus3","DNEG3","P291","INFinject","Fecal or Fecal swab","DNEG3_INFinject","Proteobacteria",0.0177,0.1043,"keep"
"634","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Actinobacteria",0.0093,0.1035,"keep"
"635","X9P257R1D0","D0","P257","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Spirochaetes",0.0093,0.1035,"keep"
"636","X9P264R1D0","D0","P264","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Proteobacteria",0.0092,0.1027,"keep"
"637","X9P290R3D0","D0","P290","INFinject","Fecal or Fecal swab","D0_INFinject","Actinobacteria",0.0131,0.1011,"keep"
"638","X9P290R3Dm3","DNEG3","P290","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.017,0.1002,"keep"
"639","X9P293R3D7","D7","P293","INFinject","Fecal","D7_INFinject","Proteobacteria",0.01,0.1,"keep"
"640","X9P294R3Dm3","DNEG3","P294","INFinject","Fecal Swab","DNEG3_INFinject","Spirochaetes",0.0169,0.0997,"keep"
"641","X9P246R1Dm3","DNEG3","P246","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Proteobacteria",0.0169,0.0995,"keep"
"642","X9P324R4D0","D0","P324","INFnm","Fecal or Fecal swab","D0_INFnm","Kiritimatiellaeota",0.007,0.0995,"keep"
"643","X9P322R4D0","D0","P322","INFnm","Fecal or Fecal swab","D0_INFnm","Proteobacteria",0.0069,0.0991,"keep"
