"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"412","X9P304R3D0","D0","P304","INFinject","Fecal or Fecal swab","D0_INFinject","Selenomonadales",0.1708,1.3136
"413","X9P312R4D7","D7","P312","INFnm","Fecal","D7_INFnm","Clostridiales",0.1312,1.3117
"414","X9P271R2Dm3","DNEG3","P271","INFfeed","Fecal Swab","DNEG3_INFfeed","Selenomonadales",0.2623,1.3115
"415","X9P278R2D4","D4","P278","INFfeed","Fecal or Fecal swab","D4_INFfeed","Mollicutes_RF39",0.0523,1.3087
"416","X9P267R2D4","D4","P267","INFfeed","Fecal or Fecal swab","D4_INFfeed","Selenomonadales",0.0523,1.3077
"417","X9P305R3Dm3","DNEG3","P305","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.2223,1.3077
"418","X9P289R3Dm3","DNEG3","P289","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.2221,1.3067
"419","X9P295R3D7","D7","P295","INFinject","Fecal","D7_INFinject","Lactobacillales",0.1289,1.2886
"420","X9P304R3D7","D7","P304","INFinject","Fecal","D7_INFinject","Lactobacillales",0.1286,1.2856
"421","X9P281R2D7","D7","P281","INFfeed","Fecal","D7_INFfeed","Selenomonadales",0.1278,1.2779
"422","X9P272R2Dm3","DNEG3","P272","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.2546,1.2731
"423","X9P324R4Dm3","DNEG3","P324","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.2151,1.2654
"424","X9P325R4D7","D7","P325","INFnm","Fecal","D7_INFnm","Lactobacillales",0.1265,1.2645
"425","X9P288R3Dm3","DNEG3","P288","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.2141,1.2592
"426","X9P295R3D7","D7","P295","INFinject","Fecal","D7_INFinject","Selenomonadales",0.1258,1.2577
"427","X9P290R3Dm3","DNEG3","P290","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.2136,1.2566
"428","X9P250R1Dm3","DNEG3","P250","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Selenomonadales",0.2134,1.2553
"429","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Lactobacillales",0.1248,1.2481
"430","X9P309R4Dminus3","DNEG3","P309","INFnm","Fecal or Fecal swab","DNEG3_INFnm","Bacteroidales",0.212,1.2472
"431","X9P268R2Dm3","DNEG3","P268","INFfeed","Fecal Swab","DNEG3_INFfeed","Selenomonadales",0.2487,1.2433
"432","X9P311R4Dm3","DNEG3","P311","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.2113,1.2429
"433","X9P273R2D7","D7","P273","INFfeed","Fecal","D7_INFfeed","Bacteroidales",0.1241,1.2413
"434","X9P325R4D7","D7","P325","INFnm","Fecal","D7_INFnm","Spirochaetales",0.1234,1.2335
"435","X9P285R2Dm3","DNEG3","P285","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteroidales",0.2459,1.2297
"436","X9P301R3Dm3","DNEG3","P301","INFinject","Fecal Swab","DNEG3_INFinject","Clostridiales",0.2088,1.2281
"437","X9P295R3Dm3","DNEG3","P295","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.2063,1.2136
